Hrapx,Hrapy,Lat,Lon,Globvalue,,,,,,
272.3333,670.25,37.07477144650,-76.49409900930,0.0875,,,,,,
1546.5,195.1667,37.10501582180,-76.49409466230,0.0892,,,,,,
262.25,674.25,37.10501582180,-76.49409466230,0.0908,,,,,,
252.5,674.6667,37.19853508440,-76.49409107980,0.0933,,,,,,
302.1667,671.4167,37.10485722590,-76.49408170230,0.0942,,,,,,
305.75,670.0833,37.26880303450,-76.49407406840,0.095,,,,,-76.49409900930,37.07477144650
327.5833,668.8333,37.10485894110,-76.49407305060,0.095,,,,,-76.49409466230,37.10501582180
238.9167,677,37.10497901140,-76.49407143820,0.095,,,,,-76.49409466230,37.10501582180
270.0833,673.4167,37.11510778630,-76.49407032690,0.0958,,,,,-76.49409107980,37.19853508440
254.5,676,37.10485563980,-76.49406847640,0.0958,,,,,-76.49408170230,37.10485722590
1516.75,195.1667,37.19852006210,-76.49406378270,0.0958,,,,,-76.49407406840,37.26880303450
293.25,669.8333,37.07467017240,-76.49406287810,0.0958,,,,,-76.49407305060,37.10485894110
1580.75,207.5833,37.10495635910,-76.49405714600,0.0958,,,,,-76.49407143820,37.10497901140
283.25,671.8333,37.10495352780,-76.49405536010,0.0975,,,,,-76.49407032690,37.11510778630
264.0833,671.75,36.98203787200,-76.49405516880,0.0983,,,,,-76.49406847640,37.10485563980
407.1667,670.5833,37.10485286500,-76.49404533220,0.0992,,,,,-76.49406378270,37.19852006210
279.5833,673.5833,37.10492662710,-76.49403838730,0.1,,,,,-76.49406287810,37.07467017240
279.3333,675.75,37.10485009020,-76.49402218800,0.1,,,,,-76.49405714600,37.10495635910
337.9167,669.3333,36.89527982190,-76.49401628970,0.1,,,,,-76.49405536010,37.10495352780
363.5833,664.6667,37.26176687800,-76.49401517940,0.1008,,,,,-76.49405516880,36.98203787200
292.9167,671.4167,37.10488556960,-76.49401248350,0.1008,,,,,-76.49404533220,37.10485286500
270.5833,672,37.10521752930,-76.49399785720,0.1017,,,,,-76.49403838730,37.10492662710
1548.8333,207.25,37.22446753150,-76.49399359020,0.1017,,,,,-76.49402218800,37.10485009020
247.75,678.5833,36.98208917300,-76.49399203970,0.1025,,,,,-76.49401628970,36.89527982190
256.9167,674.9167,37.10484592780,-76.49398747260,0.1025,,,,,-76.49401517940,37.26176687800
347.6667,665.75,37.10484592780,-76.49398747260,0.1033,,,,,-76.49401248350,37.10488556960
346.0833,663.4167,37.10484592780,-76.49398747260,0.1042,,,,,-76.49399785720,37.10521752930
228.4167,679.6667,37.10484592780,-76.49398747260,0.1042,,,,,-76.49399359020,37.22446753150
364.4167,665.8333,37.10484592780,-76.49398747260,0.105,,,,,-76.49399203970,36.98208917300
1578.9167,207.5833,37.10484592780,-76.49398747260,0.105,,,,,-76.49398747260,37.10484592780
277.6667,671,37.10484592780,-76.49398747260,0.105,,,,,-76.49398747260,37.10484592780
1526.9167,202.0833,37.10484592850,-76.49398747170,0.1058,,,,,-76.49398747260,37.10484592780
367.9167,672.0833,37.10484592850,-76.49398747170,0.1058,,,,,-76.49398747260,37.10484592780
267.6667,678.1667,37.10484592850,-76.49398747170,0.1067,,,,,-76.49398747260,37.10484592780
263.8333,672.8333,37.10484592850,-76.49398747170,0.1067,,,,,-76.49398747260,37.10484592780
284.25,676.0833,37.10484592850,-76.49398747170,0.1067,,,,,-76.49398747260,37.10484592780
286.9167,674.6667,37.10484592850,-76.49398747170,0.1067,,,,,-76.49398747170,37.10484592850
247.75,676.1667,37.10484592850,-76.49398747170,0.1067,,,,,-76.49398747170,37.10484592850
326.5,668.4167,37.10484592850,-76.49398747170,0.1075,,,,,-76.49398747170,37.10484592850
300.3333,666.3333,37.10484592850,-76.49398747170,0.1075,,,,,-76.49398747170,37.10484592850
320.5833,670.25,37.11479314100,-76.49398525650,0.1075,,,,,-76.49398747170,37.10484592850
284.1667,671.5,36.98209558470,-76.49398414890,0.1075,,,,,-76.49398747170,37.10484592850
359,667.9167,37.10516073980,-76.49396954760,0.1075,,,,,-76.49398747170,37.10484592850
